timestamp,chilledWater-TonDays,mean,std,deviation,abnormal,holder
1.42292E+12,1.934474543,3.066271875,9.27553189,-0.122019669,0,
1.42301E+12,3.310009431,3.503277159,9.253861353,-0.02088509,0,
1.42309E+12,2.999252524,3.619516518,9.296920453,-0.066717145,0,
1.42318E+12,2.064923403,3.364902934,9.262473561,-0.140349068,0,
1.42327E+12,1.854635831,3.386914916,9.292483835,-0.164894458,0,
1.42335E+12,1.904876804,2.642841138,9.3770363,-0.078699102,0,
1.42344E+12,1.586105373,1.911502195,9.352998312,-0.034790643,0,
1.42353E+12,1.80224358,2.997508147,9.259038474,-0.129091651,0,
1.42361E+12,2.23140009,3.63952861,9.254803353,-0.152151101,0,
1.4237E+12,3.145277717,3.629034618,9.302403762,-0.05200343,0,
1.42379E+12,2.81442389,3.919631653,9.28943817,-0.118974662,0,
1.42387E+12,2.338279563,2.760153855,9.250446164,-0.045605832,0,
1.42396E+12,1.741692023,2.450507634,9.254507998,-0.076591388,0,
1.42404E+12,2.019863854,5.296371385,9.418501224,-0.347879928,0,
1.42413E+12,2.335249885,3.056281917,9.256061376,-0.077898363,0,
1.42422E+12,2.877035684,3.553983352,9.253953967,-0.073152262,0,
1.4243E+12,2.686018581,3.880519866,9.256875458,-0.12903936,0,
1.42439E+12,2.058631635,4.121752679,9.297522849,-0.221900078,0,
1.42448E+12,2.387331607,2.46738074,9.248526602,-0.008655339,0,
1.42456E+12,2.576368696,2.47042156,9.253962213,0.01144884,0,
1.42465E+12,2.983685331,3.187038079,9.266076079,-0.02194594,0,
1.42474E+12,2.668843335,3.628175918,9.276094345,-0.103419882,0,
1.42482E+12,2.521392222,4.989112914,9.291429392,-0.265591072,0,
1.42491E+12,2.678547733,3.598511695,9.274469165,-0.099193166,0,
1.425E+12,2.714780036,4.380033381,9.307555397,-0.178914148,0,
1.42508E+12,2.106253689,2.619957055,9.300912471,-0.055231502,0,
1.42517E+12,2.091219377,2.443472599,9.255278672,-0.03805971,0,
1.42525E+12,3.064863659,3.657377349,9.269125732,-0.063923363,0,
1.42534E+12,3.939248129,3.613575676,9.275626642,0.035110561,0,
1.42543E+12,5.055911496,3.358707534,9.257049384,0.183341785,0,
1.42551E+12,4.30956695,3.703851752,9.338206442,0.06486419,0,
1.4256E+12,3.487975373,5.12820776,9.337121143,-0.175667892,0,
1.42569E+12,2.625074509,2.761708728,9.313728268,-0.014670196,0,
1.42577E+12,2.652257538,2.679266524,9.263083128,-0.002915766,0,
1.42586E+12,4.600521634,6.047254794,9.311256066,-0.155374651,0,
1.42595E+12,4.839406856,3.777550783,9.272710922,0.114514092,0,
1.42603E+12,5.124357862,12.04627491,9.284620263,-0.745525056,0,
1.42612E+12,4.856941524,6.214220418,9.323358484,-0.145578323,0,
1.4262E+12,4.154581395,4.586836792,9.315550455,-0.046401487,0,
